,success,method,level,heuristic,cost,exloredNodes,frontierNodes,runtime
0,True,dfs,level1.txt,manhattan,3,22,1,0.000997304916381836
1,True,dfs,level1.txt,manhattan,3,22,1,0.0
2,True,dfs,level1.txt,manhattan,3,22,1,0.0
3,True,dfs,level1.txt,manhattan,3,22,1,0.0
4,True,dfs,level1.txt,manhattan,3,22,1,0.0010216236114501953
5,True,dfs,level1.txt,manhattan,3,22,1,0.0005993843078613281
6,True,dfs,level1.txt,manhattan,3,22,1,0.0
7,True,dfs,level1.txt,manhattan,3,22,1,0.0005970001220703125
8,True,dfs,level1.txt,manhattan,3,22,1,0.0
9,True,dfs,level1.txt,manhattan,3,22,1,0.0
10,True,dfs,level1.txt,combined,3,22,1,0.0009584426879882812
11,True,dfs,level1.txt,combined,3,22,1,0.0
12,True,dfs,level1.txt,combined,3,22,1,0.0
13,True,dfs,level1.txt,combined,3,22,1,0.0011928081512451172
14,True,dfs,level1.txt,combined,3,22,1,0.0
15,True,dfs,level1.txt,combined,3,22,1,0.0
16,True,dfs,level1.txt,combined,3,22,1,0.0
17,True,dfs,level1.txt,combined,3,22,1,0.0009539127349853516
18,True,dfs,level1.txt,combined,3,22,1,0.0
19,True,dfs,level1.txt,combined,3,22,1,0.0
20,True,bfs,level1.txt,manhattan,3,7,1,0.0
21,True,bfs,level1.txt,manhattan,3,7,1,0.0
22,True,bfs,level1.txt,manhattan,3,7,1,0.0
23,True,bfs,level1.txt,manhattan,3,7,1,0.0
24,True,bfs,level1.txt,manhattan,3,7,1,0.0
25,True,bfs,level1.txt,manhattan,3,7,1,0.0
26,True,bfs,level1.txt,manhattan,3,7,1,0.0
27,True,bfs,level1.txt,manhattan,3,7,1,0.001058816909790039
28,True,bfs,level1.txt,manhattan,3,7,1,0.0
29,True,bfs,level1.txt,manhattan,3,7,1,0.0
30,True,bfs,level1.txt,combined,3,7,1,0.0
31,True,bfs,level1.txt,combined,3,7,1,0.0
32,True,bfs,level1.txt,combined,3,7,1,0.0
33,True,bfs,level1.txt,combined,3,7,1,0.0
34,True,bfs,level1.txt,combined,3,7,1,0.0010936260223388672
35,True,bfs,level1.txt,combined,3,7,1,0.0
36,True,bfs,level1.txt,combined,3,7,1,0.0
37,True,bfs,level1.txt,combined,3,7,1,0.0
38,True,bfs,level1.txt,combined,3,7,1,0.0
39,True,bfs,level1.txt,combined,3,7,1,0.0
40,True,greedy,level1.txt,manhattan,3,6,1,0.0
41,True,greedy,level1.txt,manhattan,3,6,1,0.0
42,True,greedy,level1.txt,manhattan,3,6,1,0.0
43,True,greedy,level1.txt,manhattan,3,6,1,0.0
44,True,greedy,level1.txt,manhattan,3,6,1,0.0
45,True,greedy,level1.txt,manhattan,3,6,1,0.0
46,True,greedy,level1.txt,manhattan,3,6,1,0.0
47,True,greedy,level1.txt,manhattan,3,6,1,0.0
48,True,greedy,level1.txt,manhattan,3,6,1,0.0
49,True,greedy,level1.txt,manhattan,3,6,1,0.0
50,True,greedy,level1.txt,combined,3,6,1,0.0
51,True,greedy,level1.txt,combined,3,6,1,0.0
52,True,greedy,level1.txt,combined,3,6,1,0.0
53,True,greedy,level1.txt,combined,3,6,1,0.0
54,True,greedy,level1.txt,combined,3,6,1,0.0
55,True,greedy,level1.txt,combined,3,6,1,0.0
56,True,greedy,level1.txt,combined,3,6,1,0.0
57,True,greedy,level1.txt,combined,3,6,1,0.0
58,True,greedy,level1.txt,combined,3,6,1,0.0009987354278564453
59,True,greedy,level1.txt,combined,3,6,1,0.0
60,True,astar,level1.txt,manhattan,3,7,1,0.0
61,True,astar,level1.txt,manhattan,3,7,1,0.0
62,True,astar,level1.txt,manhattan,3,7,1,0.0
63,True,astar,level1.txt,manhattan,3,7,1,0.0015056133270263672
64,True,astar,level1.txt,manhattan,3,7,1,0.0
65,True,astar,level1.txt,manhattan,3,7,1,0.0
66,True,astar,level1.txt,manhattan,3,7,1,0.001007080078125
67,True,astar,level1.txt,manhattan,3,7,1,0.0
68,True,astar,level1.txt,manhattan,3,7,1,0.0
69,True,astar,level1.txt,manhattan,3,7,1,0.0009989738464355469
70,True,astar,level1.txt,combined,3,7,1,0.0
71,True,astar,level1.txt,combined,3,7,1,0.0010006427764892578
72,True,astar,level1.txt,combined,3,7,1,0.0
73,True,astar,level1.txt,combined,3,7,1,0.0
74,True,astar,level1.txt,combined,3,7,1,0.0
75,True,astar,level1.txt,combined,3,7,1,0.0
76,True,astar,level1.txt,combined,3,7,1,0.0
77,True,astar,level1.txt,combined,3,7,1,0.0
78,True,astar,level1.txt,combined,3,7,1,0.0
79,True,astar,level1.txt,combined,3,7,1,0.0
80,True,dfs,level2.txt,manhattan,1698,19064,706,0.32407307624816895
81,True,dfs,level2.txt,manhattan,1698,19064,706,0.198744535446167
82,True,dfs,level2.txt,manhattan,1698,19064,706,0.20442867279052734
83,True,dfs,level2.txt,manhattan,1698,19064,706,0.25066542625427246
84,True,dfs,level2.txt,manhattan,1698,19064,706,0.2047131061553955
85,True,dfs,level2.txt,manhattan,1698,19064,706,0.20080113410949707
86,True,dfs,level2.txt,manhattan,1698,19064,706,0.19834470748901367
87,True,dfs,level2.txt,manhattan,1698,19064,706,0.2533278465270996
88,True,dfs,level2.txt,manhattan,1698,19064,706,0.20286941528320312
89,True,dfs,level2.txt,manhattan,1698,19064,706,0.19869327545166016
90,True,dfs,level2.txt,combined,1698,19064,706,0.19887018203735352
91,True,dfs,level2.txt,combined,1698,19064,706,0.25948238372802734
92,True,dfs,level2.txt,combined,1698,19064,706,0.2042255401611328
93,True,dfs,level2.txt,combined,1698,19064,706,0.20453310012817383
94,True,dfs,level2.txt,combined,1698,19064,706,0.20019817352294922
95,True,dfs,level2.txt,combined,1698,19064,706,0.20411324501037598
96,True,dfs,level2.txt,combined,1698,19064,706,0.25339269638061523
97,True,dfs,level2.txt,combined,1698,19064,706,0.2074720859527588
98,True,dfs,level2.txt,combined,1698,19064,706,0.206895112991333
99,True,dfs,level2.txt,combined,1698,19064,706,0.20744729042053223
100,True,bfs,level2.txt,manhattan,78,58804,54,0.7045743465423584
101,True,bfs,level2.txt,manhattan,78,58804,54,0.7125520706176758
102,True,bfs,level2.txt,manhattan,78,58804,54,0.7878587245941162
103,True,bfs,level2.txt,manhattan,78,58804,54,0.7334942817687988
104,True,bfs,level2.txt,manhattan,78,58804,54,0.7899401187896729
105,True,bfs,level2.txt,manhattan,78,58804,54,0.7472383975982666
106,True,bfs,level2.txt,manhattan,78,58804,54,0.7144789695739746
107,True,bfs,level2.txt,manhattan,78,58804,54,0.7959434986114502
108,True,bfs,level2.txt,manhattan,78,58804,54,0.729334831237793
109,True,bfs,level2.txt,manhattan,78,58804,54,0.7799110412597656
110,True,bfs,level2.txt,combined,78,58804,54,0.7443952560424805
111,True,bfs,level2.txt,combined,78,58804,54,0.7446789741516113
112,True,bfs,level2.txt,combined,78,58804,54,0.789832592010498
113,True,bfs,level2.txt,combined,78,58804,54,0.7308499813079834
114,True,bfs,level2.txt,combined,78,58804,54,0.7208824157714844
115,True,bfs,level2.txt,combined,78,58804,54,0.7933595180511475
116,True,bfs,level2.txt,combined,78,58804,54,0.7222995758056641
117,True,bfs,level2.txt,combined,78,58804,54,0.7888128757476807
118,True,bfs,level2.txt,combined,78,58804,54,0.7308130264282227
119,True,bfs,level2.txt,combined,78,58804,54,0.722074031829834
120,True,greedy,level2.txt,manhattan,104,1763,133,0.021015405654907227
121,True,greedy,level2.txt,manhattan,104,1763,133,0.02050638198852539
122,True,greedy,level2.txt,manhattan,104,1763,133,0.17671537399291992
123,True,greedy,level2.txt,manhattan,104,1763,133,0.020504474639892578
124,True,greedy,level2.txt,manhattan,104,1763,133,0.025763273239135742
125,True,greedy,level2.txt,manhattan,104,1763,133,0.021610498428344727
126,True,greedy,level2.txt,manhattan,104,1763,133,0.022279024124145508
127,True,greedy,level2.txt,manhattan,104,1763,133,0.020677566528320312
128,True,greedy,level2.txt,manhattan,104,1763,133,0.019521236419677734
129,True,greedy,level2.txt,manhattan,104,1763,133,0.019521474838256836
130,True,greedy,level2.txt,combined,104,1765,131,0.027567386627197266
131,True,greedy,level2.txt,combined,104,1765,131,0.09762763977050781
132,True,greedy,level2.txt,combined,104,1765,131,0.029898643493652344
133,True,greedy,level2.txt,combined,104,1765,131,0.029797792434692383
134,True,greedy,level2.txt,combined,104,1765,131,0.029584646224975586
135,True,greedy,level2.txt,combined,104,1765,131,0.028375625610351562
136,True,greedy,level2.txt,combined,104,1765,131,0.02833104133605957
137,True,greedy,level2.txt,combined,104,1765,131,0.02652287483215332
138,True,greedy,level2.txt,combined,104,1765,131,0.02776336669921875
139,True,greedy,level2.txt,combined,104,1765,131,0.09322595596313477
140,True,astar,level2.txt,manhattan,78,58629,97,4.9390599727630615
141,True,astar,level2.txt,manhattan,78,58629,97,5.15357232093811
142,True,astar,level2.txt,manhattan,78,58629,97,5.125253438949585
143,True,astar,level2.txt,manhattan,78,58629,97,5.15701699256897
144,True,astar,level2.txt,manhattan,78,58629,97,5.201259613037109
145,True,astar,level2.txt,manhattan,78,58629,97,5.1350250244140625
146,True,astar,level2.txt,manhattan,78,58629,97,5.328981161117554
147,True,astar,level2.txt,manhattan,78,58629,97,5.374213933944702
148,True,astar,level2.txt,manhattan,78,58629,97,5.286832809448242
149,True,astar,level2.txt,manhattan,78,58629,97,5.244008779525757
150,True,astar,level2.txt,combined,78,58387,137,5.6872618198394775
151,True,astar,level2.txt,combined,78,58387,137,5.687070608139038
152,True,astar,level2.txt,combined,78,58387,137,5.6751134395599365
153,True,astar,level2.txt,combined,78,58387,137,5.675875186920166
154,True,astar,level2.txt,combined,78,58387,137,5.688947677612305
155,True,astar,level2.txt,combined,78,58387,137,5.6826088428497314
156,True,astar,level2.txt,combined,78,58387,137,5.700135231018066
157,True,astar,level2.txt,combined,78,58387,137,5.648847579956055
158,True,astar,level2.txt,combined,78,58387,137,5.69792103767395
159,True,astar,level2.txt,combined,78,58387,137,5.681063413619995
160,True,dfs,level3.txt,manhattan,14,102,9,0.0009982585906982422
161,True,dfs,level3.txt,manhattan,14,102,9,0.0
162,True,dfs,level3.txt,manhattan,14,102,9,0.0010905265808105469
163,True,dfs,level3.txt,manhattan,14,102,9,0.0009887218475341797
164,True,dfs,level3.txt,manhattan,14,102,9,0.0010080337524414062
165,True,dfs,level3.txt,manhattan,14,102,9,0.0009932518005371094
166,True,dfs,level3.txt,manhattan,14,102,9,0.0010097026824951172
167,True,dfs,level3.txt,manhattan,14,102,9,0.1538693904876709
168,True,dfs,level3.txt,manhattan,14,102,9,0.0
169,True,dfs,level3.txt,manhattan,14,102,9,0.0009999275207519531
170,True,dfs,level3.txt,combined,14,102,9,0.0009257793426513672
171,True,dfs,level3.txt,combined,14,102,9,0.0010714530944824219
172,True,dfs,level3.txt,combined,14,102,9,0.0
173,True,dfs,level3.txt,combined,14,102,9,0.0016019344329833984
174,True,dfs,level3.txt,combined,14,102,9,0.0010833740234375
175,True,dfs,level3.txt,combined,14,102,9,0.0
176,True,dfs,level3.txt,combined,14,102,9,0.0
177,True,dfs,level3.txt,combined,14,102,9,0.0
178,True,dfs,level3.txt,combined,14,102,9,0.0010113716125488281
179,True,dfs,level3.txt,combined,14,102,9,0.0010046958923339844
180,True,bfs,level3.txt,manhattan,10,136,43,0.0019953250885009766
181,True,bfs,level3.txt,manhattan,10,136,43,0.0009922981262207031
182,True,bfs,level3.txt,manhattan,10,136,43,0.001003265380859375
183,True,bfs,level3.txt,manhattan,10,136,43,0.0010178089141845703
184,True,bfs,level3.txt,manhattan,10,136,43,0.0009002685546875
185,True,bfs,level3.txt,manhattan,10,136,43,0.0011034011840820312
186,True,bfs,level3.txt,manhattan,10,136,43,0.0009565353393554688
187,True,bfs,level3.txt,manhattan,10,136,43,0.00103759765625
188,True,bfs,level3.txt,manhattan,10,136,43,0.0
189,True,bfs,level3.txt,manhattan,10,136,43,0.001001119613647461
190,True,bfs,level3.txt,combined,10,136,43,0.0010151863098144531
191,True,bfs,level3.txt,combined,10,136,43,0.0009872913360595703
192,True,bfs,level3.txt,combined,10,136,43,0.0019199848175048828
193,True,bfs,level3.txt,combined,10,136,43,0.0
194,True,bfs,level3.txt,combined,10,136,43,0.00037980079650878906
195,True,bfs,level3.txt,combined,10,136,43,0.0010395050048828125
196,True,bfs,level3.txt,combined,10,136,43,0.0
197,True,bfs,level3.txt,combined,10,136,43,0.0009465217590332031
198,True,bfs,level3.txt,combined,10,136,43,0.0005075931549072266
199,True,bfs,level3.txt,combined,10,136,43,0.0
200,True,greedy,level3.txt,manhattan,10,30,8,0.0
201,True,greedy,level3.txt,manhattan,10,30,8,0.0
202,True,greedy,level3.txt,manhattan,10,30,8,0.0015056133270263672
203,True,greedy,level3.txt,manhattan,10,30,8,0.0
204,True,greedy,level3.txt,manhattan,10,30,8,0.001007080078125
205,True,greedy,level3.txt,manhattan,10,30,8,0.0
206,True,greedy,level3.txt,manhattan,10,30,8,0.0010006427764892578
207,True,greedy,level3.txt,manhattan,10,30,8,0.0
208,True,greedy,level3.txt,manhattan,10,30,8,0.0009987354278564453
209,True,greedy,level3.txt,manhattan,10,30,8,0.0
210,True,greedy,level3.txt,combined,10,30,8,0.0009999275207519531
211,True,greedy,level3.txt,combined,10,30,8,0.0
212,True,greedy,level3.txt,combined,10,30,8,0.0008420944213867188
213,True,greedy,level3.txt,combined,10,30,8,0.0010006427764892578
214,True,greedy,level3.txt,combined,10,30,8,0.0009989738464355469
215,True,greedy,level3.txt,combined,10,30,8,0.0
216,True,greedy,level3.txt,combined,10,30,8,0.0010836124420166016
217,True,greedy,level3.txt,combined,10,30,8,0.0
218,True,greedy,level3.txt,combined,10,30,8,0.0010023117065429688
219,True,greedy,level3.txt,combined,10,30,8,0.001012563705444336
220,True,astar,level3.txt,manhattan,10,77,21,0.0009877681732177734
221,True,astar,level3.txt,manhattan,10,77,21,0.0
222,True,astar,level3.txt,manhattan,10,77,21,0.0
223,True,astar,level3.txt,manhattan,10,77,21,0.0017025470733642578
224,True,astar,level3.txt,manhattan,10,77,21,0.0
225,True,astar,level3.txt,manhattan,10,77,21,0.001085042953491211
226,True,astar,level3.txt,manhattan,10,77,21,0.0009992122650146484
227,True,astar,level3.txt,manhattan,10,77,21,0.000997304916381836
228,True,astar,level3.txt,manhattan,10,77,21,0.0010035037994384766
229,True,astar,level3.txt,manhattan,10,77,21,0.0009160041809082031
230,True,astar,level3.txt,combined,10,77,21,0.0009996891021728516
231,True,astar,level3.txt,combined,10,77,21,0.002000570297241211
232,True,astar,level3.txt,combined,10,77,21,0.0015416145324707031
233,True,astar,level3.txt,combined,10,77,21,0.0011129379272460938
234,True,astar,level3.txt,combined,10,77,21,0.0018987655639648438
235,True,astar,level3.txt,combined,10,77,21,0.002029895782470703
236,True,astar,level3.txt,combined,10,77,21,0.001074075698852539
237,True,astar,level3.txt,combined,10,77,21,0.0010294914245605469
238,True,astar,level3.txt,combined,10,77,21,0.0009453296661376953
239,True,astar,level3.txt,combined,10,77,21,0.0010120868682861328
240,True,dfs,level4.txt,manhattan,2912,106160,1409,1.1746327877044678
241,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3163785934448242
242,True,dfs,level4.txt,manhattan,2912,106160,1409,1.4096300601959229
243,True,dfs,level4.txt,manhattan,2912,106160,1409,1.248490810394287
244,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3921496868133545
245,True,dfs,level4.txt,manhattan,2912,106160,1409,1.366950273513794
246,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2953965663909912
247,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2613105773925781
248,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3209953308105469
249,True,dfs,level4.txt,manhattan,2912,106160,1409,1.4315671920776367
250,True,dfs,level4.txt,combined,2912,106160,1409,1.2862536907196045
251,True,dfs,level4.txt,combined,2912,106160,1409,1.2602190971374512
252,True,dfs,level4.txt,combined,2912,106160,1409,1.431504726409912
253,True,dfs,level4.txt,combined,2912,106160,1409,1.2775776386260986
254,True,dfs,level4.txt,combined,2912,106160,1409,1.2668952941894531
255,True,dfs,level4.txt,combined,2912,106160,1409,1.3215031623840332
256,True,dfs,level4.txt,combined,2912,106160,1409,1.422968864440918
257,True,dfs,level4.txt,combined,2912,106160,1409,1.3199455738067627
258,True,dfs,level4.txt,combined,2912,106160,1409,1.5724239349365234
259,True,dfs,level4.txt,combined,2912,106160,1409,1.3888578414916992
260,True,bfs,level4.txt,manhattan,60,112694,1732,1.4246633052825928
261,True,bfs,level4.txt,manhattan,60,112694,1732,1.5030877590179443
262,True,bfs,level4.txt,manhattan,60,112694,1732,1.5276424884796143
263,True,bfs,level4.txt,manhattan,60,112694,1732,1.4201290607452393
264,True,bfs,level4.txt,manhattan,60,112694,1732,1.5559194087982178
265,True,bfs,level4.txt,manhattan,60,112694,1732,1.5093019008636475
266,True,bfs,level4.txt,manhattan,60,112694,1732,1.5144977569580078
267,True,bfs,level4.txt,manhattan,60,112694,1732,1.5189087390899658
268,True,bfs,level4.txt,manhattan,60,112694,1732,1.4133944511413574
269,True,bfs,level4.txt,manhattan,60,112694,1732,1.5576717853546143
270,True,bfs,level4.txt,combined,60,112694,1732,1.4987738132476807
271,True,bfs,level4.txt,combined,60,112694,1732,1.510970115661621
272,True,bfs,level4.txt,combined,60,112694,1732,1.5054914951324463
273,True,bfs,level4.txt,combined,60,112694,1732,1.5244951248168945
274,True,bfs,level4.txt,combined,60,112694,1732,1.4059016704559326
275,True,bfs,level4.txt,combined,60,112694,1732,1.5550367832183838
276,True,bfs,level4.txt,combined,60,112694,1732,1.5071101188659668
277,True,bfs,level4.txt,combined,60,112694,1732,1.5021278858184814
278,True,bfs,level4.txt,combined,60,112694,1732,1.5119078159332275
279,True,bfs,level4.txt,combined,60,112694,1732,1.5350847244262695
280,True,greedy,level4.txt,manhattan,64,1071,138,0.015435457229614258
281,True,greedy,level4.txt,manhattan,64,1071,138,0.012685060501098633
282,True,greedy,level4.txt,manhattan,64,1071,138,0.012286663055419922
283,True,greedy,level4.txt,manhattan,64,1071,138,0.012697935104370117
284,True,greedy,level4.txt,manhattan,64,1071,138,0.012630939483642578
285,True,greedy,level4.txt,manhattan,64,1071,138,0.012607574462890625
286,True,greedy,level4.txt,manhattan,64,1071,138,0.011699199676513672
287,True,greedy,level4.txt,manhattan,64,1071,138,0.013921260833740234
288,True,greedy,level4.txt,manhattan,64,1071,138,0.012508153915405273
289,True,greedy,level4.txt,manhattan,64,1071,138,0.012001514434814453
290,True,greedy,level4.txt,combined,74,806,85,0.012686491012573242
291,True,greedy,level4.txt,combined,74,806,85,0.011700868606567383
292,True,greedy,level4.txt,combined,74,806,85,0.011914253234863281
293,True,greedy,level4.txt,combined,74,806,85,0.01278829574584961
294,True,greedy,level4.txt,combined,74,806,85,0.012075185775756836
295,True,greedy,level4.txt,combined,74,806,85,0.012007951736450195
296,True,greedy,level4.txt,combined,74,806,85,0.011606693267822266
297,True,greedy,level4.txt,combined,74,806,85,0.014082670211791992
298,True,greedy,level4.txt,combined,74,806,85,0.013357877731323242
299,True,greedy,level4.txt,combined,74,806,85,0.013319969177246094
300,True,astar,level4.txt,manhattan,60,96954,3356,20.42787265777588
301,True,astar,level4.txt,manhattan,60,96954,3356,21.018843412399292
302,True,astar,level4.txt,manhattan,60,96954,3356,21.113195180892944
303,True,astar,level4.txt,manhattan,60,96954,3356,21.43610692024231
304,True,astar,level4.txt,manhattan,60,96954,3356,21.616546869277954
305,True,astar,level4.txt,manhattan,60,96954,3356,21.52344274520874
306,True,astar,level4.txt,manhattan,60,96954,3356,21.63606023788452
307,True,astar,level4.txt,manhattan,60,96954,3356,21.448643684387207
308,True,astar,level4.txt,manhattan,60,96954,3356,21.65215754508972
309,True,astar,level4.txt,manhattan,60,96954,3356,21.59732961654663
310,True,astar,level4.txt,combined,60,86402,3884,19.887678623199463
311,True,astar,level4.txt,combined,60,86402,3884,20.162604808807373
312,True,astar,level4.txt,combined,60,86402,3884,20.38351273536682
313,True,astar,level4.txt,combined,60,86402,3884,20.30798649787903
314,True,astar,level4.txt,combined,60,86402,3884,19.785399675369263
315,True,astar,level4.txt,combined,60,86402,3884,20.29931950569153
316,True,astar,level4.txt,combined,60,86402,3884,20.26510453224182
317,True,astar,level4.txt,combined,60,86402,3884,20.304113149642944
318,True,astar,level4.txt,combined,60,86402,3884,20.40772533416748
319,True,astar,level4.txt,combined,60,86402,3884,20.318348169326782
320,False,dfs,level5.txt,manhattan,0,17,0,0.0
321,False,dfs,level5.txt,manhattan,0,17,0,0.0009958744049072266
322,False,dfs,level5.txt,manhattan,0,17,0,0.0
323,False,dfs,level5.txt,manhattan,0,17,0,0.0
324,False,dfs,level5.txt,manhattan,0,17,0,0.0
325,False,dfs,level5.txt,manhattan,0,17,0,0.0
326,False,dfs,level5.txt,manhattan,0,17,0,0.0
327,False,dfs,level5.txt,manhattan,0,17,0,0.0
328,False,dfs,level5.txt,manhattan,0,17,0,0.0
329,False,dfs,level5.txt,manhattan,0,17,0,0.0
330,False,dfs,level5.txt,combined,0,17,0,0.0
331,False,dfs,level5.txt,combined,0,17,0,0.0
332,False,dfs,level5.txt,combined,0,17,0,0.0
333,False,dfs,level5.txt,combined,0,17,0,0.0
334,False,dfs,level5.txt,combined,0,17,0,0.0
335,False,dfs,level5.txt,combined,0,17,0,0.0
336,False,dfs,level5.txt,combined,0,17,0,0.0
337,False,dfs,level5.txt,combined,0,17,0,0.0
338,False,dfs,level5.txt,combined,0,17,0,0.0
339,False,dfs,level5.txt,combined,0,17,0,0.0
340,False,bfs,level5.txt,manhattan,0,17,0,0.0
341,False,bfs,level5.txt,manhattan,0,17,0,0.0
342,False,bfs,level5.txt,manhattan,0,17,0,0.0
343,False,bfs,level5.txt,manhattan,0,17,0,0.0
344,False,bfs,level5.txt,manhattan,0,17,0,0.0
345,False,bfs,level5.txt,manhattan,0,17,0,0.0
346,False,bfs,level5.txt,manhattan,0,17,0,0.0
347,False,bfs,level5.txt,manhattan,0,17,0,0.0
348,False,bfs,level5.txt,manhattan,0,17,0,0.0
349,False,bfs,level5.txt,manhattan,0,17,0,0.0
350,False,bfs,level5.txt,combined,0,17,0,0.0
351,False,bfs,level5.txt,combined,0,17,0,0.0
352,False,bfs,level5.txt,combined,0,17,0,0.0
353,False,bfs,level5.txt,combined,0,17,0,0.0
354,False,bfs,level5.txt,combined,0,17,0,0.0
355,False,bfs,level5.txt,combined,0,17,0,0.0
356,False,bfs,level5.txt,combined,0,17,0,0.0
357,False,bfs,level5.txt,combined,0,17,0,0.0009996891021728516
358,False,bfs,level5.txt,combined,0,17,0,0.0
359,False,bfs,level5.txt,combined,0,17,0,0.0
360,False,greedy,level5.txt,manhattan,0,17,0,0.0009999275207519531
361,False,greedy,level5.txt,manhattan,0,17,0,0.0
362,False,greedy,level5.txt,manhattan,0,17,0,0.0
363,False,greedy,level5.txt,manhattan,0,17,0,0.0
364,False,greedy,level5.txt,manhattan,0,17,0,0.0
365,False,greedy,level5.txt,manhattan,0,17,0,0.0
366,False,greedy,level5.txt,manhattan,0,17,0,0.0
367,False,greedy,level5.txt,manhattan,0,17,0,0.0
368,False,greedy,level5.txt,manhattan,0,17,0,0.0009999275207519531
369,False,greedy,level5.txt,manhattan,0,17,0,0.0
370,False,greedy,level5.txt,combined,0,17,0,0.0
371,False,greedy,level5.txt,combined,0,17,0,0.0009999275207519531
372,False,greedy,level5.txt,combined,0,17,0,0.0
373,False,greedy,level5.txt,combined,0,17,0,0.0
374,False,greedy,level5.txt,combined,0,17,0,0.0
375,False,greedy,level5.txt,combined,0,17,0,0.0010042190551757812
376,False,greedy,level5.txt,combined,0,17,0,0.0
377,False,greedy,level5.txt,combined,0,17,0,0.0
378,False,greedy,level5.txt,combined,0,17,0,0.0
379,False,greedy,level5.txt,combined,0,17,0,0.0
380,False,astar,level5.txt,manhattan,0,17,0,0.0
381,False,astar,level5.txt,manhattan,0,17,0,0.0
382,False,astar,level5.txt,manhattan,0,17,0,0.001001119613647461
383,False,astar,level5.txt,manhattan,0,17,0,0.0
384,False,astar,level5.txt,manhattan,0,17,0,0.00099945068359375
385,False,astar,level5.txt,manhattan,0,17,0,0.0
386,False,astar,level5.txt,manhattan,0,17,0,0.0
387,False,astar,level5.txt,manhattan,0,17,0,0.0009057521820068359
388,False,astar,level5.txt,manhattan,0,17,0,0.0
389,False,astar,level5.txt,manhattan,0,17,0,0.001096963882446289
390,False,astar,level5.txt,combined,0,17,0,0.0
391,False,astar,level5.txt,combined,0,17,0,0.0
392,False,astar,level5.txt,combined,0,17,0,0.0
393,False,astar,level5.txt,combined,0,17,0,0.0
394,False,astar,level5.txt,combined,0,17,0,0.0
395,False,astar,level5.txt,combined,0,17,0,0.0
396,False,astar,level5.txt,combined,0,17,0,0.0
397,False,astar,level5.txt,combined,0,17,0,0.0
398,False,astar,level5.txt,combined,0,17,0,0.0009953975677490234
399,False,astar,level5.txt,combined,0,17,0,0.0
