,success,method,level,heuristic,cost,exploredNodes,frontierNodes,runtime
0,True,dfs,level1.txt,manhattan,3,22,1,0.0
1,True,dfs,level1.txt,manhattan,3,22,1,0.0
2,True,dfs,level1.txt,manhattan,3,22,1,0.0
3,True,dfs,level1.txt,manhattan,3,22,1,0.0009443759918212891
4,True,dfs,level1.txt,manhattan,3,22,1,0.0
5,True,dfs,level1.txt,manhattan,3,22,1,0.0010035037994384766
6,True,dfs,level1.txt,manhattan,3,22,1,0.0
7,True,dfs,level1.txt,manhattan,3,22,1,0.0
8,True,dfs,level1.txt,manhattan,3,22,1,0.0
9,True,dfs,level1.txt,manhattan,3,22,1,0.0010347366333007812
10,True,dfs,level1.txt,combined,3,22,1,0.0
11,True,dfs,level1.txt,combined,3,22,1,0.0009675025939941406
12,True,dfs,level1.txt,combined,3,22,1,0.0010497570037841797
13,True,dfs,level1.txt,combined,3,22,1,0.0
14,True,dfs,level1.txt,combined,3,22,1,0.0
15,True,dfs,level1.txt,combined,3,22,1,0.0
16,True,dfs,level1.txt,combined,3,22,1,0.0
17,True,dfs,level1.txt,combined,3,22,1,0.0
18,True,dfs,level1.txt,combined,3,22,1,0.001001119613647461
19,True,dfs,level1.txt,combined,3,22,1,0.0
20,True,bfs,level1.txt,manhattan,3,7,1,0.0
21,True,bfs,level1.txt,manhattan,3,7,1,0.0
22,True,bfs,level1.txt,manhattan,3,7,1,0.0
23,True,bfs,level1.txt,manhattan,3,7,1,0.0
24,True,bfs,level1.txt,manhattan,3,7,1,0.0
25,True,bfs,level1.txt,manhattan,3,7,1,0.0
26,True,bfs,level1.txt,manhattan,3,7,1,0.0
27,True,bfs,level1.txt,manhattan,3,7,1,0.0
28,True,bfs,level1.txt,manhattan,3,7,1,0.0010154247283935547
29,True,bfs,level1.txt,manhattan,3,7,1,0.0
30,True,bfs,level1.txt,combined,3,7,1,0.0
31,True,bfs,level1.txt,combined,3,7,1,0.0
32,True,bfs,level1.txt,combined,3,7,1,0.0
33,True,bfs,level1.txt,combined,3,7,1,0.0
34,True,bfs,level1.txt,combined,3,7,1,0.0
35,True,bfs,level1.txt,combined,3,7,1,0.0
36,True,bfs,level1.txt,combined,3,7,1,0.0
37,True,bfs,level1.txt,combined,3,7,1,0.0
38,True,bfs,level1.txt,combined,3,7,1,0.0
39,True,bfs,level1.txt,combined,3,7,1,0.0
40,True,greedy,level1.txt,manhattan,3,6,1,0.0
41,True,greedy,level1.txt,manhattan,3,6,1,0.0
42,True,greedy,level1.txt,manhattan,3,6,1,0.0
43,True,greedy,level1.txt,manhattan,3,6,1,0.0
44,True,greedy,level1.txt,manhattan,3,6,1,0.0
45,True,greedy,level1.txt,manhattan,3,6,1,0.0
46,True,greedy,level1.txt,manhattan,3,6,1,0.0
47,True,greedy,level1.txt,manhattan,3,6,1,0.0
48,True,greedy,level1.txt,manhattan,3,6,1,0.0
49,True,greedy,level1.txt,manhattan,3,6,1,0.0
50,True,greedy,level1.txt,combined,3,6,1,0.0
51,True,greedy,level1.txt,combined,3,6,1,0.0
52,True,greedy,level1.txt,combined,3,6,1,0.0
53,True,greedy,level1.txt,combined,3,6,1,0.0
54,True,greedy,level1.txt,combined,3,6,1,0.0
55,True,greedy,level1.txt,combined,3,6,1,0.0
56,True,greedy,level1.txt,combined,3,6,1,0.0
57,True,greedy,level1.txt,combined,3,6,1,0.0010294914245605469
58,True,greedy,level1.txt,combined,3,6,1,0.0
59,True,greedy,level1.txt,combined,3,6,1,0.0009679794311523438
60,True,astar,level1.txt,manhattan,3,7,1,0.0
61,True,astar,level1.txt,manhattan,3,7,1,0.0
62,True,astar,level1.txt,manhattan,3,7,1,0.0010311603546142578
63,True,astar,level1.txt,manhattan,3,7,1,0.0
64,True,astar,level1.txt,manhattan,3,7,1,0.0
65,True,astar,level1.txt,manhattan,3,7,1,0.0
66,True,astar,level1.txt,manhattan,3,7,1,0.0
67,True,astar,level1.txt,manhattan,3,7,1,0.0
68,True,astar,level1.txt,manhattan,3,7,1,0.0
69,True,astar,level1.txt,manhattan,3,7,1,0.0
70,True,astar,level1.txt,combined,3,7,1,0.0
71,True,astar,level1.txt,combined,3,7,1,0.0
72,True,astar,level1.txt,combined,3,7,1,0.0
73,True,astar,level1.txt,combined,3,7,1,0.0
74,True,astar,level1.txt,combined,3,7,1,0.0
75,True,astar,level1.txt,combined,3,7,1,0.0
76,True,astar,level1.txt,combined,3,7,1,0.0
77,True,astar,level1.txt,combined,3,7,1,0.0
78,True,astar,level1.txt,combined,3,7,1,0.0
79,True,astar,level1.txt,combined,3,7,1,0.0
80,True,dfs,level2.txt,manhattan,1698,19064,706,0.2826054096221924
81,True,dfs,level2.txt,manhattan,1698,19064,706,0.21596527099609375
82,True,dfs,level2.txt,manhattan,1698,19064,706,0.19834423065185547
83,True,dfs,level2.txt,manhattan,1698,19064,706,0.19804930686950684
84,True,dfs,level2.txt,manhattan,1698,19064,706,0.24223804473876953
85,True,dfs,level2.txt,manhattan,1698,19064,706,0.2044541835784912
86,True,dfs,level2.txt,manhattan,1698,19064,706,0.19796466827392578
87,True,dfs,level2.txt,manhattan,1698,19064,706,0.2002112865447998
88,True,dfs,level2.txt,manhattan,1698,19064,706,0.20201706886291504
89,True,dfs,level2.txt,manhattan,1698,19064,706,0.25956296920776367
90,True,dfs,level2.txt,combined,1698,19064,706,0.22006869316101074
91,True,dfs,level2.txt,combined,1698,19064,706,0.20021605491638184
92,True,dfs,level2.txt,combined,1698,19064,706,0.20000171661376953
93,True,dfs,level2.txt,combined,1698,19064,706,0.24196672439575195
94,True,dfs,level2.txt,combined,1698,19064,706,0.20499396324157715
95,True,dfs,level2.txt,combined,1698,19064,706,0.20200300216674805
96,True,dfs,level2.txt,combined,1698,19064,706,0.21270537376403809
97,True,dfs,level2.txt,combined,1698,19064,706,0.2579808235168457
98,True,dfs,level2.txt,combined,1698,19064,706,0.2249469757080078
99,True,dfs,level2.txt,combined,1698,19064,706,0.20856237411499023
100,True,bfs,level2.txt,manhattan,78,58804,54,0.9347307682037354
101,True,bfs,level2.txt,manhattan,78,58804,54,0.7306885719299316
102,True,bfs,level2.txt,manhattan,78,58804,54,0.6995892524719238
103,True,bfs,level2.txt,manhattan,78,58804,54,0.764812707901001
104,True,bfs,level2.txt,manhattan,78,58804,54,0.7292888164520264
105,True,bfs,level2.txt,manhattan,78,58804,54,0.7081735134124756
106,True,bfs,level2.txt,manhattan,78,58804,54,0.7531235218048096
107,True,bfs,level2.txt,manhattan,78,58804,54,0.70717453956604
108,True,bfs,level2.txt,manhattan,78,58804,54,0.7600653171539307
109,True,bfs,level2.txt,manhattan,78,58804,54,0.7044856548309326
110,True,bfs,level2.txt,combined,78,58804,54,0.6930148601531982
111,True,bfs,level2.txt,combined,78,58804,54,0.7487726211547852
112,True,bfs,level2.txt,combined,78,58804,54,0.6993169784545898
113,True,bfs,level2.txt,combined,78,58804,54,0.6923906803131104
114,True,bfs,level2.txt,combined,78,58804,54,0.7522356510162354
115,True,bfs,level2.txt,combined,78,58804,54,0.6962029933929443
116,True,bfs,level2.txt,combined,78,58804,54,0.7668547630310059
117,True,bfs,level2.txt,combined,78,58804,54,0.7241191864013672
118,True,bfs,level2.txt,combined,78,58804,54,0.7221837043762207
119,True,bfs,level2.txt,combined,78,58804,54,0.7470331192016602
120,True,greedy,level2.txt,manhattan,104,1763,133,0.024822711944580078
121,True,greedy,level2.txt,manhattan,104,1763,133,0.025869131088256836
122,True,greedy,level2.txt,manhattan,104,1763,133,0.026003122329711914
123,True,greedy,level2.txt,manhattan,104,1763,133,0.02599787712097168
124,True,greedy,level2.txt,manhattan,104,1763,133,0.027001142501831055
125,True,greedy,level2.txt,manhattan,104,1763,133,0.025998592376708984
126,True,greedy,level2.txt,manhattan,104,1763,133,0.024999618530273438
127,True,greedy,level2.txt,manhattan,104,1763,133,0.020634889602661133
128,True,greedy,level2.txt,manhattan,104,1763,133,0.1642138957977295
129,True,greedy,level2.txt,manhattan,104,1763,133,0.02499699592590332
130,True,greedy,level2.txt,combined,104,1765,131,0.03419995307922363
131,True,greedy,level2.txt,combined,104,1765,131,0.034630537033081055
132,True,greedy,level2.txt,combined,104,1765,131,0.034998178482055664
133,True,greedy,level2.txt,combined,104,1765,131,0.0350341796875
134,True,greedy,level2.txt,combined,104,1765,131,0.03422284126281738
135,True,greedy,level2.txt,combined,104,1765,131,0.03468203544616699
136,True,greedy,level2.txt,combined,104,1765,131,0.03599047660827637
137,True,greedy,level2.txt,combined,104,1765,131,0.08806753158569336
138,True,greedy,level2.txt,combined,104,1765,131,0.03400063514709473
139,True,greedy,level2.txt,combined,104,1765,131,0.03451085090637207
140,True,astar,level2.txt,manhattan,78,58629,97,6.928583145141602
141,True,astar,level2.txt,manhattan,78,58629,97,7.250331163406372
142,True,astar,level2.txt,manhattan,78,58629,97,7.140946865081787
143,True,astar,level2.txt,manhattan,78,58629,97,8.302385807037354
144,True,astar,level2.txt,manhattan,78,58629,97,8.146111488342285
145,True,astar,level2.txt,manhattan,78,58629,97,9.02279806137085
146,True,astar,level2.txt,manhattan,78,58629,97,8.40271282196045
147,True,astar,level2.txt,manhattan,78,58629,97,8.554112195968628
148,True,astar,level2.txt,manhattan,78,58629,97,9.743160724639893
149,True,astar,level2.txt,manhattan,78,58629,97,8.881837368011475
150,True,astar,level2.txt,combined,78,58387,137,7.986801385879517
151,True,astar,level2.txt,combined,78,58387,137,9.37668514251709
152,True,astar,level2.txt,combined,78,58387,137,9.553455352783203
153,True,astar,level2.txt,combined,78,58387,137,10.148628234863281
154,True,astar,level2.txt,combined,78,58387,137,9.095304489135742
155,True,astar,level2.txt,combined,78,58387,137,8.324676513671875
156,True,astar,level2.txt,combined,78,58387,137,7.636702537536621
157,True,astar,level2.txt,combined,78,58387,137,7.673942804336548
158,True,astar,level2.txt,combined,78,58387,137,7.738043785095215
159,True,astar,level2.txt,combined,78,58387,137,7.618002891540527
160,True,dfs,level3.txt,manhattan,14,102,9,0.0010001659393310547
161,True,dfs,level3.txt,manhattan,14,102,9,0.0010001659393310547
162,True,dfs,level3.txt,manhattan,14,102,9,0.0010004043579101562
163,True,dfs,level3.txt,manhattan,14,102,9,0.0009989738464355469
164,True,dfs,level3.txt,manhattan,14,102,9,0.0010001659393310547
165,True,dfs,level3.txt,manhattan,14,102,9,0.0009999275207519531
166,True,dfs,level3.txt,manhattan,14,102,9,0.0010004043579101562
167,True,dfs,level3.txt,manhattan,14,102,9,0.0019989013671875
168,True,dfs,level3.txt,manhattan,14,102,9,0.0010008811950683594
169,True,dfs,level3.txt,manhattan,14,102,9,0.0009999275207519531
170,True,dfs,level3.txt,combined,14,102,9,0.0009999275207519531
171,True,dfs,level3.txt,combined,14,102,9,0.0009999275207519531
172,True,dfs,level3.txt,combined,14,102,9,0.0009999275207519531
173,True,dfs,level3.txt,combined,14,102,9,0.0009999275207519531
174,True,dfs,level3.txt,combined,14,102,9,0.0010006427764892578
175,True,dfs,level3.txt,combined,14,102,9,0.0010006427764892578
176,True,dfs,level3.txt,combined,14,102,9,0.0
177,True,dfs,level3.txt,combined,14,102,9,0.0
178,True,dfs,level3.txt,combined,14,102,9,0.0009992122650146484
179,True,dfs,level3.txt,combined,14,102,9,0.0010001659393310547
180,True,bfs,level3.txt,manhattan,10,136,43,0.0010001659393310547
181,True,bfs,level3.txt,manhattan,10,136,43,0.0010006427764892578
182,True,bfs,level3.txt,manhattan,10,136,43,0.0019979476928710938
183,True,bfs,level3.txt,manhattan,10,136,43,0.001001119613647461
184,True,bfs,level3.txt,manhattan,10,136,43,0.0009999275207519531
185,True,bfs,level3.txt,manhattan,10,136,43,0.0009999275207519531
186,True,bfs,level3.txt,manhattan,10,136,43,0.0010004043579101562
187,True,bfs,level3.txt,manhattan,10,136,43,0.0
188,True,bfs,level3.txt,manhattan,10,136,43,0.0
189,True,bfs,level3.txt,manhattan,10,136,43,0.0009999275207519531
190,True,bfs,level3.txt,combined,10,136,43,0.0010004043579101562
191,True,bfs,level3.txt,combined,10,136,43,0.0009999275207519531
192,True,bfs,level3.txt,combined,10,136,43,0.0010004043579101562
193,True,bfs,level3.txt,combined,10,136,43,0.0020003318786621094
194,True,bfs,level3.txt,combined,10,136,43,0.0010004043579101562
195,True,bfs,level3.txt,combined,10,136,43,0.0
196,True,bfs,level3.txt,combined,10,136,43,0.0009996891021728516
197,True,bfs,level3.txt,combined,10,136,43,0.0010001659393310547
198,True,bfs,level3.txt,combined,10,136,43,0.0010013580322265625
199,True,bfs,level3.txt,combined,10,136,43,0.0009987354278564453
200,True,greedy,level3.txt,manhattan,10,30,8,0.0010001659393310547
201,True,greedy,level3.txt,manhattan,10,30,8,0.0
202,True,greedy,level3.txt,manhattan,10,30,8,0.0
203,True,greedy,level3.txt,manhattan,10,30,8,0.0009996891021728516
204,True,greedy,level3.txt,manhattan,10,30,8,0.0
205,True,greedy,level3.txt,manhattan,10,30,8,0.0009996891021728516
206,True,greedy,level3.txt,manhattan,10,30,8,0.0
207,True,greedy,level3.txt,manhattan,10,30,8,0.0
208,True,greedy,level3.txt,manhattan,10,30,8,0.0
209,True,greedy,level3.txt,manhattan,10,30,8,0.0
210,True,greedy,level3.txt,combined,10,30,8,0.0009996891021728516
211,True,greedy,level3.txt,combined,10,30,8,0.0010001659393310547
212,True,greedy,level3.txt,combined,10,30,8,0.0
213,True,greedy,level3.txt,combined,10,30,8,0.0
214,True,greedy,level3.txt,combined,10,30,8,0.00099945068359375
215,True,greedy,level3.txt,combined,10,30,8,0.0009999275207519531
216,True,greedy,level3.txt,combined,10,30,8,0.0
217,True,greedy,level3.txt,combined,10,30,8,0.0
218,True,greedy,level3.txt,combined,10,30,8,0.00099945068359375
219,True,greedy,level3.txt,combined,10,30,8,0.0010001659393310547
220,True,astar,level3.txt,manhattan,10,77,21,0.0009996891021728516
221,True,astar,level3.txt,manhattan,10,77,21,0.0009999275207519531
222,True,astar,level3.txt,manhattan,10,77,21,0.0010001659393310547
223,True,astar,level3.txt,manhattan,10,77,21,0.0013976097106933594
224,True,astar,level3.txt,manhattan,10,77,21,0.0
225,True,astar,level3.txt,manhattan,10,77,21,0.0
226,True,astar,level3.txt,manhattan,10,77,21,0.0
227,True,astar,level3.txt,manhattan,10,77,21,0.0
228,True,astar,level3.txt,manhattan,10,77,21,0.0
229,True,astar,level3.txt,manhattan,10,77,21,0.006993770599365234
230,True,astar,level3.txt,combined,10,77,21,0.0010128021240234375
231,True,astar,level3.txt,combined,10,77,21,0.001996755599975586
232,True,astar,level3.txt,combined,10,77,21,0.0010004043579101562
233,True,astar,level3.txt,combined,10,77,21,0.0009996891021728516
234,True,astar,level3.txt,combined,10,77,21,0.001001119613647461
235,True,astar,level3.txt,combined,10,77,21,0.0009996891021728516
236,True,astar,level3.txt,combined,10,77,21,0.0010004043579101562
237,True,astar,level3.txt,combined,10,77,21,0.00099945068359375
238,True,astar,level3.txt,combined,10,77,21,0.0009999275207519531
239,True,astar,level3.txt,combined,10,77,21,0.0010001659393310547
240,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2331342697143555
241,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2689461708068848
242,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3443264961242676
243,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2053487300872803
244,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3452367782592773
245,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2300658226013184
246,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2053935527801514
247,True,dfs,level4.txt,manhattan,2912,106160,1409,1.2610805034637451
248,True,dfs,level4.txt,manhattan,2912,106160,1409,1.3312129974365234
249,True,dfs,level4.txt,manhattan,2912,106160,1409,1.279700756072998
250,True,dfs,level4.txt,combined,2912,106160,1409,1.2193949222564697
251,True,dfs,level4.txt,combined,2912,106160,1409,1.2608282566070557
252,True,dfs,level4.txt,combined,2912,106160,1409,1.328284502029419
253,True,dfs,level4.txt,combined,2912,106160,1409,1.231518268585205
254,True,dfs,level4.txt,combined,2912,106160,1409,1.2658123970031738
255,True,dfs,level4.txt,combined,2912,106160,1409,1.3263046741485596
256,True,dfs,level4.txt,combined,2912,106160,1409,1.2084858417510986
257,True,dfs,level4.txt,combined,2912,106160,1409,1.346975564956665
258,True,dfs,level4.txt,combined,2912,106160,1409,1.1995956897735596
259,True,dfs,level4.txt,combined,2912,106160,1409,1.334498405456543
260,True,bfs,level4.txt,manhattan,60,112694,1732,1.4094932079315186
261,True,bfs,level4.txt,manhattan,60,112694,1732,1.424539566040039
262,True,bfs,level4.txt,manhattan,60,112694,1732,1.3416023254394531
263,True,bfs,level4.txt,manhattan,60,112694,1732,1.4659953117370605
264,True,bfs,level4.txt,manhattan,60,112694,1732,1.4166791439056396
265,True,bfs,level4.txt,manhattan,60,112694,1732,1.6428773403167725
266,True,bfs,level4.txt,manhattan,60,112694,1732,1.5356967449188232
267,True,bfs,level4.txt,manhattan,60,112694,1732,1.6042323112487793
268,True,bfs,level4.txt,manhattan,60,112694,1732,1.634113073348999
269,True,bfs,level4.txt,manhattan,60,112694,1732,2.5790324211120605
270,True,bfs,level4.txt,combined,60,112694,1732,2.20196795463562
271,True,bfs,level4.txt,combined,60,112694,1732,2.5253310203552246
272,True,bfs,level4.txt,combined,60,112694,1732,1.5220534801483154
273,True,bfs,level4.txt,combined,60,112694,1732,2.1491353511810303
274,True,bfs,level4.txt,combined,60,112694,1732,1.87459397315979
275,True,bfs,level4.txt,combined,60,112694,1732,1.5858685970306396
276,True,bfs,level4.txt,combined,60,112694,1732,1.5692238807678223
277,True,bfs,level4.txt,combined,60,112694,1732,2.3447887897491455
278,True,bfs,level4.txt,combined,60,112694,1732,1.797555923461914
279,True,bfs,level4.txt,combined,60,112694,1732,1.6730413436889648
280,True,greedy,level4.txt,manhattan,64,1071,138,0.010149955749511719
281,True,greedy,level4.txt,manhattan,64,1071,138,0.015631914138793945
282,True,greedy,level4.txt,manhattan,64,1071,138,0.015659809112548828
283,True,greedy,level4.txt,manhattan,64,1071,138,0.031248092651367188
284,True,greedy,level4.txt,manhattan,64,1071,138,0.015629053115844727
285,True,greedy,level4.txt,manhattan,64,1071,138,0.015620231628417969
286,True,greedy,level4.txt,manhattan,64,1071,138,0.015628576278686523
287,True,greedy,level4.txt,manhattan,64,1071,138,0.015586614608764648
288,True,greedy,level4.txt,manhattan,64,1071,138,0.03332638740539551
289,True,greedy,level4.txt,manhattan,64,1071,138,0.019031763076782227
290,True,greedy,level4.txt,combined,74,806,85,0.017967939376831055
291,True,greedy,level4.txt,combined,74,806,85,0.017638683319091797
292,True,greedy,level4.txt,combined,74,806,85,0.01800990104675293
293,True,greedy,level4.txt,combined,74,806,85,0.017994403839111328
294,True,greedy,level4.txt,combined,74,806,85,0.019001483917236328
295,True,greedy,level4.txt,combined,74,806,85,0.017998695373535156
296,True,greedy,level4.txt,combined,74,806,85,0.018005847930908203
297,True,greedy,level4.txt,combined,74,806,85,0.018007993698120117
298,True,greedy,level4.txt,combined,74,806,85,0.017986774444580078
299,True,greedy,level4.txt,combined,74,806,85,0.018004894256591797
300,True,astar,level4.txt,manhattan,60,96954,3356,32.01642203330994
301,True,astar,level4.txt,manhattan,60,96954,3356,33.60117244720459
302,True,astar,level4.txt,manhattan,60,96954,3356,32.632646799087524
303,True,astar,level4.txt,manhattan,60,96954,3356,33.188316106796265
304,True,astar,level4.txt,manhattan,60,96954,3356,34.272881507873535
305,True,astar,level4.txt,manhattan,60,96954,3356,35.00963091850281
306,True,astar,level4.txt,manhattan,60,96954,3356,32.96963834762573
307,True,astar,level4.txt,manhattan,60,96954,3356,30.112749814987183
308,True,astar,level4.txt,manhattan,60,96954,3356,35.43268322944641
309,True,astar,level4.txt,manhattan,60,96954,3356,33.49882411956787
310,True,astar,level4.txt,combined,60,86402,3884,26.744091987609863
311,True,astar,level4.txt,combined,60,86402,3884,30.26081347465515
312,True,astar,level4.txt,combined,60,86402,3884,28.463818311691284
313,True,astar,level4.txt,combined,60,86402,3884,29.357319355010986
314,True,astar,level4.txt,combined,60,86402,3884,28.019773721694946
315,True,astar,level4.txt,combined,60,86402,3884,25.685530185699463
316,True,astar,level4.txt,combined,60,86402,3884,26.570380210876465
317,True,astar,level4.txt,combined,60,86402,3884,27.194623231887817
318,True,astar,level4.txt,combined,60,86402,3884,30.2065749168396
319,True,astar,level4.txt,combined,60,86402,3884,40.39538073539734
320,False,dfs,level5.txt,manhattan,0,17,0,0.0009999275207519531
321,False,dfs,level5.txt,manhattan,0,17,0,0.0010004043579101562
322,False,dfs,level5.txt,manhattan,0,17,0,0.0
323,False,dfs,level5.txt,manhattan,0,17,0,0.0010089874267578125
324,False,dfs,level5.txt,manhattan,0,17,0,0.0009913444519042969
325,False,dfs,level5.txt,manhattan,0,17,0,0.0
326,False,dfs,level5.txt,manhattan,0,17,0,0.0
327,False,dfs,level5.txt,manhattan,0,17,0,0.001001596450805664
328,False,dfs,level5.txt,manhattan,0,17,0,0.0
329,False,dfs,level5.txt,manhattan,0,17,0,0.0010051727294921875
330,False,dfs,level5.txt,combined,0,17,0,0.0
331,False,dfs,level5.txt,combined,0,17,0,0.0
332,False,dfs,level5.txt,combined,0,17,0,0.0009970664978027344
333,False,dfs,level5.txt,combined,0,17,0,0.0
334,False,dfs,level5.txt,combined,0,17,0,0.0
335,False,dfs,level5.txt,combined,0,17,0,0.0009999275207519531
336,False,dfs,level5.txt,combined,0,17,0,0.0
337,False,dfs,level5.txt,combined,0,17,0,0.0009999275207519531
338,False,dfs,level5.txt,combined,0,17,0,0.0
339,False,dfs,level5.txt,combined,0,17,0,0.0
340,False,bfs,level5.txt,manhattan,0,17,0,0.0
341,False,bfs,level5.txt,manhattan,0,17,0,0.0010013580322265625
342,False,bfs,level5.txt,manhattan,0,17,0,0.0
343,False,bfs,level5.txt,manhattan,0,17,0,0.0
344,False,bfs,level5.txt,manhattan,0,17,0,0.0
345,False,bfs,level5.txt,manhattan,0,17,0,0.0
346,False,bfs,level5.txt,manhattan,0,17,0,0.001003265380859375
347,False,bfs,level5.txt,manhattan,0,17,0,0.0009965896606445312
348,False,bfs,level5.txt,manhattan,0,17,0,0.0
349,False,bfs,level5.txt,manhattan,0,17,0,0.0
350,False,bfs,level5.txt,combined,0,17,0,0.0
351,False,bfs,level5.txt,combined,0,17,0,0.0
352,False,bfs,level5.txt,combined,0,17,0,0.0
353,False,bfs,level5.txt,combined,0,17,0,0.000997304916381836
354,False,bfs,level5.txt,combined,0,17,0,0.0
355,False,bfs,level5.txt,combined,0,17,0,0.0
356,False,bfs,level5.txt,combined,0,17,0,0.0010004043579101562
357,False,bfs,level5.txt,combined,0,17,0,0.0
358,False,bfs,level5.txt,combined,0,17,0,0.0
359,False,bfs,level5.txt,combined,0,17,0,0.0
360,False,greedy,level5.txt,manhattan,0,17,0,0.0
361,False,greedy,level5.txt,manhattan,0,17,0,0.0
362,False,greedy,level5.txt,manhattan,0,17,0,0.00099945068359375
363,False,greedy,level5.txt,manhattan,0,17,0,0.0
364,False,greedy,level5.txt,manhattan,0,17,0,0.0
365,False,greedy,level5.txt,manhattan,0,17,0,0.0
366,False,greedy,level5.txt,manhattan,0,17,0,0.0010044574737548828
367,False,greedy,level5.txt,manhattan,0,17,0,0.000997781753540039
368,False,greedy,level5.txt,manhattan,0,17,0,0.0
369,False,greedy,level5.txt,manhattan,0,17,0,0.0
370,False,greedy,level5.txt,combined,0,17,0,0.0
371,False,greedy,level5.txt,combined,0,17,0,0.0009989738464355469
372,False,greedy,level5.txt,combined,0,17,0,0.0009975433349609375
373,False,greedy,level5.txt,combined,0,17,0,0.0010077953338623047
374,False,greedy,level5.txt,combined,0,17,0,0.0010006427764892578
375,False,greedy,level5.txt,combined,0,17,0,0.0
376,False,greedy,level5.txt,combined,0,17,0,0.0
377,False,greedy,level5.txt,combined,0,17,0,0.0
378,False,greedy,level5.txt,combined,0,17,0,0.00099945068359375
379,False,greedy,level5.txt,combined,0,17,0,0.0
380,False,astar,level5.txt,manhattan,0,17,0,0.0
381,False,astar,level5.txt,manhattan,0,17,0,0.0010001659393310547
382,False,astar,level5.txt,manhattan,0,17,0,0.0010018348693847656
383,False,astar,level5.txt,manhattan,0,17,0,0.0009984970092773438
384,False,astar,level5.txt,manhattan,0,17,0,0.0
385,False,astar,level5.txt,manhattan,0,17,0,0.0
386,False,astar,level5.txt,manhattan,0,17,0,0.0009992122650146484
387,False,astar,level5.txt,manhattan,0,17,0,0.0
388,False,astar,level5.txt,manhattan,0,17,0,0.0
389,False,astar,level5.txt,manhattan,0,17,0,0.0009980201721191406
390,False,astar,level5.txt,combined,0,17,0,0.001001119613647461
391,False,astar,level5.txt,combined,0,17,0,0.0
392,False,astar,level5.txt,combined,0,17,0,0.0
393,False,astar,level5.txt,combined,0,17,0,0.0010020732879638672
394,False,astar,level5.txt,combined,0,17,0,0.00099945068359375
395,False,astar,level5.txt,combined,0,17,0,0.0
396,False,astar,level5.txt,combined,0,17,0,0.0
397,False,astar,level5.txt,combined,0,17,0,0.0
398,False,astar,level5.txt,combined,0,17,0,0.001001119613647461
399,False,astar,level5.txt,combined,0,17,0,0.0
